STRATO	N	M1	M2	M3	M4	S1	S2	S3	S4	COST	CENS	DOM1	X1	X2	X3	X4	X5	X6
12*2*1*1*2*3	1	3359	4170	4509	1895	0	0	0	0	1	0	1	12	2	1	1	2	3
12*2*2*1*2*3	1	3419	4288	4522	2132	0	0	0	0	1	0	1	12	2	2	1	2	3
13*1*1*1*1*2	1	3772	6102	5354	2362	0	0	0	0	1	0	1	13	1	1	1	1	2
13*1*1*1*2*1	3	3454.66666666667	4709	5289	2765.66666666667	256.008246394959	476.961913224386	420.48860468111	309.128164718491	1	0	1	13	1	1	1	2	1
13*1*1*1*2*2	2	3931.5	5750	5439.5	2173	184.5	474	256.5	197	1	0	1	13	1	1	1	2	2
13*1*2*1*2*2	1	4424	5800	7121	2203	0	0	0	0	1	0	1	13	1	2	1	2	2
14*1*1*1*2*2	2	6658	8303.5	8961	3701	861	622.5	532	80	1	0	1	14	1	1	1	2	2
14*1*2*1*2*2	1	5796	7279	7126	4175	0	0	0	0	1	0	1	14	1	2	1	2	2
14*1*3*1*2*3	1	6732	7998	8492	3949	0	0	0	0	1	0	1	14	1	3	1	2	3
14*2*1*1*2*1	1	4790	6615	6931	4118	0	0	0	0	1	0	1	14	2	1	1	2	1
17*1*1*1*3*2	1	32429	60074	57063	28398	0	0	0	0	1	0	1	17	1	1	1	3	2
17*2*2*1*3*2	1	24291	44202	35421	21000	0	0	0	0	1	0	1	17	2	2	1	3	2
2*1*1*1*1*1	67	133.970149253731	137.805970149254	172.223880597015	64.8358208955224	34.7416779036335	32.4295971348314	42.3943184364041	20.3202692828888	1	0	1	2	1	1	1	1	1
2*1*1*2*1*1	2	111.5	103	120.5	65.5	9.5	7	4.5	3.5	1	0	1	2	1	1	2	1	1
2*1*2*1*1*1	27	139.185185185185	140.259259259259	165.555555555556	69.5925925925926	27.0103368923785	35.522129349539	38.2587035203982	16.9951175107555	1	0	1	2	1	2	1	1	1
2*2*1*1*1*1	16	134.8125	134.6875	176.0625	92.375	34.0591741495592	33.6539721838299	31.71448555077	18.6073742102426	1	0	1	2	2	1	1	1	1
2*2*1*2*1*1	6	121.666666666667	118.166666666667	164.166666666667	92.6666666666667	25.6753232155356	29.0368539771252	32.5648924798198	8.5374989832438	1	0	1	2	2	1	2	1	1
2*2*2*1*1*1	1	169	188	259	80	0	0	0	0	1	0	1	2	2	2	1	1	1
2*2*2*2*1*1	2	133.5	136	147	97	43.5	45	27	30	1	0	1	2	2	2	2	1	1
3*1*1*1*1*1	45	245.044444444444	253.777777777778	316.688888888889	110.2	46.6871172121416	47.2162349145521	57.1714078586771	39.4098690403531	1	0	1	3	1	1	1	1	1
3*1*1*1*1*2	1	232	260	297	115	0	0	0	0	1	0	1	3	1	1	1	1	2
3*1*1*2*1*1	2	213	254	242.5	96.5	4	27	3.5	9.5	1	0	1	3	1	1	2	1	1
3*1*2*1*1*1	8	248.625	251.75	312.875	128.875	57.7752920806118	26.1043578737344	46.4446915696509	25.5608954264126	1	0	1	3	1	2	1	1	1
3*2*1*1*1*1	10	235.2	241.2	303.3	144.1	41.8588103032086	36.6136586535681	56.1089119481032	40.6385285166675	1	0	1	3	2	1	1	1	1
3*2*1*1*2*1	1	212	234	353	194	0	0	0	0	1	0	1	3	2	1	1	2	1
3*2*1*2*1*1	3	204	240.333333333333	303	177.333333333333	33.7441352929167	34.7594911099432	52.1791784782653	34.5864456430872	1	0	1	3	2	1	2	1	1
3*2*2*1*1*1	3	261.333333333333	261	327	146.333333333333	42.7577153531643	28.3313724811677	48.1940521918075	16.8588914885357	1	0	1	3	2	2	1	1	1
3*2*2*2*1*1	1	168	213	302	218	0	0	0	0	1	0	1	3	2	2	2	1	1
3*3*1*2*1*1	1	190	172	254	179	0	0	0	0	1	0	1	3	3	1	2	1	1
3*3*2*2*1*1	1	203	230	365	277	0	0	0	0	1	0	1	3	3	2	2	1	1
4*1*1*1*1*1	18	371.111111111111	400.777777777778	505.333333333333	179.833333333333	59.0563656263036	68.0967902291009	69.2555653600007	42.5352794748077	1	0	1	4	1	1	1	1	1
4*1*1*1*1*2	1	311	397	455	173	0	0	0	0	1	0	1	4	1	1	1	1	2
4*1*1*2*1*1	1	343	444	510	134	0	0	0	0	1	0	1	4	1	1	2	1	1
4*1*2*1*1*1	5	412.8	432	486.8	169.6	20.4098015668943	69.4319811038112	75.4861576714566	58.4006849274904	1	0	1	4	1	2	1	1	1
4*1*2*1*1*2	1	412	492	515	225	0	0	0	0	1	0	1	4	1	2	1	1	2
4*1*3*1*1*1	1	453	465	589	197	0	0	0	0	1	0	1	4	1	3	1	1	1
4*2*1*1*1*1	6	333.833333333333	363.833333333333	418.333333333333	206.5	45.0163550526053	34.3870938321665	51.8030458134998	23.6202596655216	1	0	1	4	2	1	1	1	1
4*2*1*2*1*1	4	375.5	414.25	483.5	205.5	68.0018382104484	66.7921215413914	56.1270879344368	44.5280810275943	1	0	1	4	2	1	2	1	1
4*2*2*1*1*1	2	351	383.5	427.5	239	11	18.5	3.5	22	1	0	1	4	2	2	1	1	1
4*2*2*2*1*1	1	329	385	434	209	0	0	0	0	1	0	1	4	2	2	2	1	1
4*3*1*1*1*1	1	412	490	573	256	0	0	0	0	1	0	1	4	3	1	1	1	1
4*3*1*2*1*1	1	261	338	428	267	0	0	0	0	1	0	1	4	3	1	2	1	1
4*3*2*2*2*1	1	243	322	450	292	0	0	0	0	1	0	1	4	3	2	2	2	1
4*3*2*3*1*1	1	371	423	486	242	0	0	0	0	1	0	1	4	3	2	3	1	1
5*1*1*1*1*1	19	501.315789473684	561.526315789474	710.684210526316	291.157894736842	74.6529180390502	85.7704208742904	83.3862620463403	91.2089926071436	1	0	1	5	1	1	1	1	1
5*1*1*1*1*2	3	548.666666666667	664.666666666667	732.666666666667	252.333333333333	70.8347058690551	99.9877770307729	55.5117605157282	86.3416984364385	1	0	1	5	1	1	1	1	2
5*1*1*1*2*1	2	628	499.5	820	304.5	41	5.5	16	50.5	1	0	1	5	1	1	1	2	1
5*1*2*1*1*1	1	617	613	694	354	0	0	0	0	1	0	1	5	1	2	1	1	1
5*1*3*1*1*2	1	593	731	722	293	0	0	0	0	1	0	1	5	1	3	1	1	2
5*2*1*1*1*1	4	529.75	657	670.75	305.75	72.212793187911	120.064565963485	44.6843093266529	45.0131925106407	1	0	1	5	2	1	1	1	1
5*2*2*1*1*1	1	491	618	724	364	0	0	0	0	1	0	1	5	2	2	1	1	1
5*2*2*1*2*1	1	548	642	823	484	0	0	0	0	1	0	1	5	2	2	1	2	1
5*3*1*2*1*1	2	567	547.5	674	269	33	122.5	5	86	1	0	1	5	3	1	2	1	1
6*1*1*1*1*1	8	688.875	860.875	1059.25	363.5	96.3579751499584	109.265087630954	79.1845155317629	104.736574318621	1	0	1	6	1	1	1	1	1
6*1*1*1*2*1	4	693.75	849.75	1007	443.75	55.8765380101523	167.775705929077	102.310800993834	152.038440862829	1	0	1	6	1	1	1	2	1
6*1*2*1*1*1	5	653.8	743	871.2	350.2	74.9437122112322	64.2277198723417	87.6889958888799	108.6285413692	1	0	1	6	1	2	1	1	1
6*1*2*1*1*2	1	787	900	822	276	0	0	0	0	1	0	1	6	1	2	1	1	2
6*1*2*1*2*1	1	730	789	1184	381	0	0	0	0	1	0	1	6	1	2	1	2	1
6*1*3*1*1*2	1	627	706	828	383	0	0	0	0	1	0	1	6	1	3	1	1	2
6*1*3*1*1*3	1	692	831	955	307	0	0	0	0	1	0	1	6	1	3	1	1	3
6*2*1*1*1*1	1	1024	870	770	334	0	0	0	0	1	0	1	6	2	1	1	1	1
6*2*1*1*2*1	1	639	728	868	422	0	0	0	0	1	0	1	6	2	1	1	2	1
6*2*2*1*1*1	1	787	841	991	628	0	0	0	0	1	0	1	6	2	2	1	1	1
6*2*2*1*1*2	1	774	923	1070	545	0	0	0	0	1	0	1	6	2	2	1	1	2
6*2*2*2*1*2	1	797	780	938	445	0	0	0	0	1	0	1	6	2	2	2	1	2
6*2*2*2*2*1	1	626	758	1059	558	0	0	0	0	1	0	1	6	2	2	2	2	1
6*3*2*1*1*1	1	806	897	1114	544	0	0	0	0	1	0	1	6	3	2	1	1	1
6*3*2*2*2*1	1	713	693	804	420	0	0	0	0	1	0	1	6	3	2	2	2	1
6*3*3*3*2*1	1	705	689	921	634	0	0	0	0	1	0	1	6	3	3	3	2	1
7*1*1*1*1*1	2	1094	1210.5	1353	499	166	62.5	128	103	1	0	1	7	1	1	1	1	1
7*1*1*1*1*2	1	878	969	1109	640	0	0	0	0	1	0	1	7	1	1	1	1	2
7*1*1*1*2*1	1	983	1390	1384	453	0	0	0	0	1	0	1	7	1	1	1	2	1
7*1*2*1*1*1	1	1262	1291	1281	447	0	0	0	0	1	0	1	7	1	2	1	1	1
7*1*2*1*1*2	2	1104	1136	1253.5	537.5	131	128	22.5	58.5	1	0	1	7	1	2	1	1	2
7*2*1*2*1*2	1	1021	1121	1377	661	0	0	0	0	1	0	1	7	2	1	2	1	2
7*2*2*1*2*1	1	1026	1066	1436	540	0	0	0	0	1	0	1	7	2	2	1	2	1
7*3*2*2*2*1	3	959	1007.66666666667	1268.66666666667	830.333333333333	24.0970260959038	51.3960655649395	100.174292554971	273.271944325713	1	0	1	7	3	2	2	2	1
8*1*1*1*2*1	1	1140	1062	1701	794	0	0	0	0	1	0	1	8	1	1	1	2	1
8*1*2*1*1*2	1	1238	1591	1582	728	0	0	0	0	1	0	1	8	1	2	1	1	2
8*1*2*1*2*2	1	1312	1286	1859	725	0	0	0	0	1	0	1	8	1	2	1	2	2
8*2*1*1*2*1	1	1196	1140	1627	732	0	0	0	0	1	0	1	8	2	1	1	2	1
8*2*2*1*1*1	1	1659	1596	1562	770	0	0	0	0	1	0	1	8	2	2	1	1	1
8*2*2*2*2*1	1	1219	1519	1812	791	0	0	0	0	1	0	1	8	2	2	2	2	1
8*3*2*2*2*1	1	1321	1454	1731	844	0	0	0	0	1	0	1	8	3	2	2	2	1
9*1*1*1*1*1	1	1434	2314	1751	564	0	0	0	0	1	0	1	9	1	1	1	1	1
9*1*1*1*1*2	1	1689	2282	2005	601	0	0	0	0	1	0	1	9	1	1	1	1	2
9*1*1*1*2*1	1	1698	1515	2206	925	0	0	0	0	1	0	1	9	1	1	1	2	1
9*1*1*1*2*2	1	1903	1867	2314	720	0	0	0	0	1	0	1	9	1	1	1	2	2
9*2*1*1*1*3	1	1532	1891	2143	984	0	0	0	0	1	0	1	9	2	1	1	1	3
9*2*1*3*1*1	1	1277	2522	1682	507	0	0	0	0	1	0	1	9	2	1	3	1	1
9*2*2*1*2*3	1	1642	1799	1779	475	0	0	0	0	1	0	1	9	2	2	1	2	3
9*3*2*2*2*2	1	1513	1673	2147	928	0	0	0	0	1	0	1	9	3	2	2	2	2
9*3*2*3*2*1	1	1449	2076	1995	1016	0	0	0	0	1	0	1	9	3	2	3	2	1
9*3*3*2*2*1	1	1920	1461	1944	932	0	0	0	0	1	0	1	9	3	3	2	2	1
9*3*3*2*2*2	1	1520	1538	1922	993	0	0	0	0	1	0	1	9	3	3	2	2	2
1*1*1*1*1*1	242	53.8636363636364	55.0950413223141	64.7520661157025	29.0619834710744	25.8599613941279	24.7351937555027	30.3886073127554	15.1782889539623	1	0	2	1	1	1	1	1	1
1*1*2*1*1*1	5	92.4	76.2	98.2	43	13.8217220345368	12.0565334984812	14.1336477952438	13.0384048104053	1	0	2	1	1	2	1	1	1
1*2*1*1*1*1	15	58.2	55.0666666666667	64.7333333333333	32.8666666666667	22.51281116757	17.8230811652257	24.4116547757191	15.8361050205605	1	0	2	1	2	1	1	1	1
1*2*1*2*1*1	6	62.8333333333333	53	81.8333333333333	49.3333333333333	10.5264217830921	18.5382487486458	25.5435358206773	16.3673115962546	1	0	2	1	2	1	2	1	1
1*2*2*1*1*1	4	83.5	82	108.75	50	3.8405728739343	11.0227038425243	11.0312057364551	11.1803398874989	1	0	2	1	2	2	1	1	1
1*3*1*2*1*1	1	72	85	121	54	0	0	0	0	1	0	2	1	3	1	2	1	1
10*1*1*1*1*2	1	1957	2802	2845	1318	0	0	0	0	1	0	2	10	1	1	1	1	2
10*1*1*1*2*2	1	1803	2219	2406	756	0	0	0	0	1	0	2	10	1	1	1	2	2
10*1*2*1*2*2	1	1688	2139	2422	1354	0	0	0	0	1	0	2	10	1	2	1	2	2
10*2*1*1*2*2	1	1749	2105	2450	1397	0	0	0	0	1	0	2	10	2	1	1	2	2
10*2*3*1*2*1	1	2103	2042	3617	1190	0	0	0	0	1	0	2	10	2	3	1	2	1
11*1*1*1*2*2	3	2183.33333333333	2921	3380.33333333333	1437.66666666667	176.696223942549	167.034926487447	539.964402118839	296.01163640791	1	0	2	11	1	1	1	2	2
11*1*2*1*2*2	5	2486.4	3023.8	3409.8	1389.4	207.144973388205	335.241644191171	251.249199003698	239.646906927671	1	0	2	11	1	2	1	2	2
11*1*3*1*2*1	1	2456	2927	3992	1520	0	0	0	0	1	0	2	11	1	3	1	2	1
11*2*2*1*2*2	2	2425	2933.5	3495	2087.5	56	255.5	196	95.5	1	0	2	11	2	2	1	2	2
11*3*3*1*2*2	1	2245	2349	2800	1754	0	0	0	0	1	0	2	11	3	3	1	2	2
12*1*1*1*2*1	1	2288	2725	4977	2581	0	0	0	0	1	0	2	12	1	1	1	2	1
12*1*2*1*2*2	2	2872	3546	4302	2468	209	463	342	147	1	0	2	12	1	2	1	2	2
12*2*1*1*2*2	1	3154	3982	4457	2485	0	0	0	0	1	0	2	12	2	1	1	2	2
12*2*2*1*2*3	1	3119	4070	4707	2818	0	0	0	0	1	0	2	12	2	2	1	2	3
13*1*1*1*2*1	1	3041	4619	5444	2348	0	0	0	0	1	0	2	13	1	1	1	2	1
13*1*1*1*2*2	1	2926	4512	4886	3165	0	0	0	0	1	0	2	13	1	1	1	2	2
13*1*1*1*2*3	1	3094	5008	5037	3618	0	0	0	0	1	0	2	13	1	1	1	2	3
13*2*2*1*2*2	1	3233	4118	5183	3404	0	0	0	0	1	0	2	13	2	2	1	2	2
15*1*1*1*2*2	1	6862	13231	10142	5312	0	0	0	0	1	0	2	15	1	1	1	2	2
15*1*2*1*2*3	1	8128	11265	13301	7683	0	0	0	0	1	0	2	15	1	2	1	2	3
15*2*1*1*2*2	1	6356	11204	9576	5778	0	0	0	0	1	0	2	15	2	1	1	2	2
15*2*1*1*2*3	1	9127	14825	15140	9563	0	0	0	0	1	0	2	15	2	1	1	2	3
15*2*3*1*2*2	1	7861	10452	12892	6577	0	0	0	0	1	0	2	15	2	3	1	2	2
15*2*3*2*2*2	1	8319	10551	11258	6888	0	0	0	0	1	0	2	15	2	3	2	2	2
17*2*3*1*3*3	1	19399	44263	39397	25575	0	0	0	0	1	0	2	17	2	3	1	3	3
2*1*1*1*1*1	138	132.079710144928	137.891304347826	167.644927536232	73.9710144927536	29.8399259805496	34.1118545382365	40.9465541939376	25.5399493913522	1	0	2	2	1	1	1	1	1
2*1*2*1*1*1	47	151.255319148936	153.68085106383	173.595744680851	87.3404255319149	27.8502592410154	31.6954298222333	34.0616834546474	26.4110523252162	1	0	2	2	1	2	1	1	1
2*2*1*1*1*1	9	158	151	180.222222222222	92.5555555555556	16.2343942158479	29.3143878212275	29.5889535610759	28.3121925486809	1	0	2	2	2	1	1	1	1
2*2*1*2*1*1	5	131.2	139.4	168	97.4	25.206348406701	20.372530525195	22.1900878772483	22.8	1	0	2	2	2	1	2	1	1
2*2*2*1*1*1	6	137.166666666667	126.666666666667	167.833333333333	87.1666666666667	23.0970176044922	31.1537406350434	46.2616351730988	40.2343827535052	1	0	2	2	2	2	1	1	1
2*2*2*2*1*1	1	199	195	209	132	0	0	0	0	1	0	2	2	2	2	2	1	1
2*2*3*1*1*1	1	164	171	223	107	0	0	0	0	1	0	2	2	2	3	1	1	1
2*2*3*2*1*1	1	178	162	201	106	0	0	0	0	1	0	2	2	2	3	2	1	1
2*3*1*2*1*1	1	209	147	204	134	0	0	0	0	1	0	2	2	3	1	2	1	1
2*3*2*2*1*1	1	153	170	183	118	0	0	0	0	1	0	2	2	3	2	2	1	1
3*1*1*1*1*1	55	241.927272727273	261.545454545455	310.309090909091	124.290909090909	44.8386418355072	49.4992445054626	50.6527833668587	37.2059001808109	1	0	2	3	1	1	1	1	1
3*1*2*1*1*1	38	241.473684210526	252.421052631579	296.447368421053	133.789473684211	37.2429695535068	44.7470267044858	45.5329246800257	31.386518975624	1	0	2	3	1	2	1	1	1
3*1*3*1*1*1	1	313	360	305	184	0	0	0	0	1	0	2	3	1	3	1	1	1
3*2*1*1*1*1	4	217.75	246.5	313	144.25	36.7517006409227	49.469687688523	42.4794067755189	31.4115822587784	1	0	2	3	2	1	1	1	1
3*2*1*2*1*1	2	219.5	297	362.5	162	28.5	11	39.5	39	1	0	2	3	2	1	2	1	1
3*2*2*1*1*1	8	280	274.125	334.25	185.375	33.166247903554	33.6096619292727	30.1237032915941	42.5908954472667	1	0	2	3	2	2	1	1	1
3*2*2*2*1*1	6	242	230.333333333333	287.666666666667	162	38.3188378390229	31.987844913689	55.2680337587249	20.1328918273887	1	0	2	3	2	2	2	1	1
3*2*3*1*1*1	1	237	254	300	206	0	0	0	0	1	0	2	3	2	3	1	1	1
3*3*1*2*1*1	1	225	207	320	184	0	0	0	0	1	0	2	3	3	1	2	1	1
3*3*2*2*1*1	1	217	267	266	161	0	0	0	0	1	0	2	3	3	2	2	1	1
4*1*1*1*1*1	32	372.40625	391.90625	501.5	188.6875	49.7869582414662	65.5821809711868	64.3428317685816	53.7386252499075	1	0	2	4	1	1	1	1	1
4*1*1*1*1*2	3	367.333333333333	410.333333333333	487.333333333333	165.666666666667	6.84754619472471	34.08160142299	15.4560308258262	19.6015872373189	1	0	2	4	1	1	1	1	2
4*1*2*1*1*1	33	371.181818181818	382.878787878788	440.484848484848	212.484848484848	52.7851302210366	56.2713973178783	59.1280691238127	49.0733039887369	1	0	2	4	1	2	1	1	1
4*2*1*1*1*1	5	348.8	355	501.4	249.2	49.3209894466849	57.837703965493	81.4140037094356	17.04582060213	1	0	2	4	2	1	1	1	1
4*2*1*1*1*2	1	304	323	492	216	0	0	0	0	1	0	2	4	2	1	1	1	2
4*2*1*2*1*1	1	289	301	421	268	0	0	0	0	1	0	2	4	2	1	2	1	1
4*2*2*1*1*1	10	381.2	376.2	444.1	225.7	49.8092360913114	62.5632479975265	51.3331277052159	33.6304921165302	1	0	2	4	2	2	1	1	1
4*2*2*2*1*1	2	433	355	415.5	207.5	26	59	20.5	29.5	1	0	2	4	2	2	2	1	1
4*2*3*1*1*1	1	362	448	463	270	0	0	0	0	1	0	2	4	2	3	1	1	1
4*3*2*2*1*1	1	443	365	542	278	0	0	0	0	1	0	2	4	3	2	2	1	1
4*3*2*3*1*1	3	400.333333333333	362.666666666667	433.666666666667	267	6.94422221866655	34.7403064017704	25.5255862921022	34.0293990543471	1	0	2	4	3	2	3	1	1
4*3*3*1*1*1	1	374	357	330	201	0	0	0	0	1	0	2	4	3	3	1	1	1
4*3*3*2*1*1	2	450.5	388.5	463.5	280.5	12.5	15.5	29.5	19.5	1	0	2	4	3	3	2	1	1
5*1*1*1*1*1	29	509.103448275862	580.241379310345	719.586206896552	326.310344827586	69.4467520293047	80.1806818131932	115.373910049435	92.2564280344421	1	0	2	5	1	1	1	1	1
5*1*1*1*1*2	5	526.6	671.8	676.8	287	23.035624584543	127.337975482572	126.924229365397	119.580934935298	1	0	2	5	1	1	1	1	2
5*1*2*1*1*1	15	536.266666666667	583.2	677.666666666667	299.933333333333	59.7064671725117	86.7803357141851	96.0691880307567	56.7984350332139	1	0	2	5	1	2	1	1	1
5*1*2*1*1*2	1	632	728	750	325	0	0	0	0	1	0	2	5	1	2	1	1	2
5*1*3*1*1*1	5	516.2	586.8	660.6	270	38.8607771409682	43.7693957006491	46.7444114306726	53.9332921301862	1	0	2	5	1	3	1	1	1
5*2*1*1*1*1	2	538	607	690.5	374.5	21	50	14.5	28.5	1	0	2	5	2	1	1	1	1
5*2*2*1*1*1	4	508.75	581.5	658.5	319.5	73.3940562988584	147.35925488411	73.4319412789829	45.1469821804293	1	0	2	5	2	2	1	1	1
5*2*2*1*1*2	1	595	616	740	363	0	0	0	0	1	0	2	5	2	2	1	1	2
5*2*2*2*1*1	2	547.5	481.5	563.5	321	61.5	41.5	13.5	5	1	0	2	5	2	2	2	1	1
5*2*3*1*1*1	2	522.5	535	604	326.5	13.5	37	4	2.5	1	0	2	5	2	3	1	1	1
5*3*2*3*1*1	1	492	578	599	269	0	0	0	0	1	0	2	5	3	2	3	1	1
5*3*2*3*2*1	1	581	619	738	399	0	0	0	0	1	0	2	5	3	2	3	2	1
5*3*3*2*2*1	1	729	633	740	399	0	0	0	0	1	0	2	5	3	3	2	2	1
5*3*3*3*1*1	1	541	526	655	332	0	0	0	0	1	0	2	5	3	3	3	1	1
6*1*1*1*1*1	13	689	806.923076923077	994.076923076923	445.307692307692	90.0521216595401	104.51092069434	121.585969293311	103.844102543843	1	0	2	6	1	1	1	1	1
6*1*1*1*1*2	5	700.2	857	1017	453.8	76.0878439699799	46.7118828565066	91.8477000256403	95.9529051149573	1	0	2	6	1	1	1	1	2
6*1*2*1*1*1	9	697.888888888889	783.666666666667	965.333333333333	425.555555555556	72.7452853675747	97.6080597765028	65.8904815246903	58.738802452725	1	0	2	6	1	2	1	1	1
6*1*3*1*1*1	2	824.5	855.5	958.5	393.5	92.5	26.5	97.5	131.5	1	0	2	6	1	3	1	1	1
6*2*2*1*1*1	5	706.4	778.4	912.8	480.2	66.2256747794992	101.52753321144	75.4702590428839	91.4973223651927	1	0	2	6	2	2	1	1	1
6*2*2*1*2*1	1	845	813	1092	533	0	0	0	0	1	0	2	6	2	2	1	2	1
6*2*2*2*2*1	1	754	754	920	528	0	0	0	0	1	0	2	6	2	2	2	2	1
6*2*3*1*1*1	6	722.666666666667	831	951.5	443.333333333333	78.1721746460266	71.014083110324	104.689620625288	79.5417430591566	1	0	2	6	2	3	1	1	1
6*2*3*2*1*1	1	710	667	760	416	0	0	0	0	1	0	2	6	2	3	2	1	1
6*3*2*3*1*1	1	643	695	1005	627	0	0	0	0	1	0	2	6	3	2	3	1	1
6*3*2*3*2*1	1	653	838	877	546	0	0	0	0	1	0	2	6	3	2	3	2	1
6*3*3*3*2*1	1	862	851	1038	574	0	0	0	0	1	0	2	6	3	3	3	2	1
7*1*1*1*1*1	10	863.9	990.5	1268.9	670.9	75.5876312633224	96.955917818357	146.509009961845	169.667586768952	1	0	2	7	1	1	1	1	1
7*1*1*1*1*2	5	898.8	1094	1299.6	587	70.878487568514	133.307164098558	117.394378059599	84.5931439302264	1	0	2	7	1	1	1	1	2
7*1*1*1*2*2	1	1275	1237	1333	592	0	0	0	0	1	0	2	7	1	1	1	2	2
7*1*2*1*1*1	4	981.75	1078.75	1365.75	531.25	64.7702670984148	92.7398916324577	99.6954738190255	30.4743744808651	1	0	2	7	1	2	1	1	1
7*1*2*1*1*2	2	1042.5	1213.5	1184	488	44.5	25.5	6	49	1	0	2	7	1	2	1	1	2
7*1*3*1*1*2	1	901	1015	1161	572	0	0	0	0	1	0	2	7	1	3	1	1	2
7*2*1*1*1*1	1	984	1156	1410	628	0	0	0	0	1	0	2	7	2	1	1	1	1
7*2*2*1*1*1	2	948	1014	1196.5	545	54	74	3.5	95	1	0	2	7	2	2	1	1	1
7*2*2*1*2*1	1	926	1022	1289	928	0	0	0	0	1	0	2	7	2	2	1	2	1
7*2*2*3*2*1	1	958	1063	1016	597	0	0	0	0	1	0	2	7	2	2	3	2	1
7*2*3*1*2*1	2	976	1127.5	1404.5	651.5	31	57.5	165.5	10.5	1	0	2	7	2	3	1	2	1
7*3*2*2*2*2	1	1101	1271	1423	594	0	0	0	0	1	0	2	7	3	2	2	2	2
7*3*2*3*2*1	1	857	1305	1242	665	0	0	0	0	1	0	2	7	3	2	3	2	1
8*1*1*1*1*1	3	1185	1558.33333333333	1688	761.666666666667	5.35412613473634	207.849838959657	76.9978354674121	158.842339723667	1	0	2	8	1	1	1	1	1
8*1*1*1*1*2	7	1142	1384.57142857143	1587.57142857143	789.285714285714	127.23993083934	152.822826588604	142.407721643433	74.9432438310377	1	0	2	8	1	1	1	1	2
8*1*1*1*2*2	1	1174	1405	1779	980	0	0	0	0	1	0	2	8	1	1	1	2	2
8*1*2*1*1*1	4	1249	1462	1698.5	705.25	89.2664550657188	135.216493076843	131.872097124449	112.976490917359	1	0	2	8	1	2	1	1	1
8*1*2*1*1*2	1	1093	1461	1418	545	0	0	0	0	1	0	2	8	1	2	1	1	2
8*1*2*1*2*1	1	1080	1258	1498	770	0	0	0	0	1	0	2	8	1	2	1	2	1
8*1*3*1*2*2	1	1147	1254	1463	961	0	0	0	0	1	0	2	8	1	3	1	2	2
