id	X1	X2	X3	X4	X5	X6	Y1	Y2	Y3	Y4	domainvalue
Zollikofen	11	1	1	1	2	1	1975	2687	3104	1671	2
Urdorf	11	1	1	1	2	2	2043	2918	3151	1305	4
Oberwil (BL)	11	1	1	1	2	1	1922	2468	3485	1488	3
Villars-sur-Glane	11	1	1	1	2	2	2407	3010	2902	1020	2
Flawil	11	1	2	1	2	2	2464	2723	2834	1299	5
Belp	11	1	2	1	2	2	2170	2561	3199	1263	2
Hinwil	11	2	3	1	2	2	2250	2577	3121	1209	4
Langnau im Emmental	11	3	3	1	2	2	2245	2349	2800	1754	2
Sarnen	11	3	3	2	2	2	2318	2583	2932	1312	6
Brugg	11	1	1	1	2	2	2064	2515	3016	1548	3
Spreitenbach	11	1	1	1	1	2	2271	3030	3087	739	3
Bernex	11	1	2	1	2	1	2203	2551	3176	1146	1
Romanshorn	11	1	1	1	2	2	2189	2370	2829	1688	5
Wohlen bei Bern	10	2	3	1	2	1	2103	2042	3617	1190	2
Zuchwil	10	1	1	1	1	2	1957	2802	2845	1318	2
Veyrier	10	1	1	1	2	1	2398	2257	2955	1282	1
Steinhausen	10	1	1	1	1	2	2222	2930	2883	766	6
Gossau (ZH)	10	1	3	1	2	1	2301	2468	2964	952	4
Maur	10	1	2	1	2	1	1901	2400	3289	1087	4
Zofingen	10	1	1	1	2	2	1656	2444	2760	1787	3
Rorschach	10	1	1	1	1	1	1876	2575	2619	1577	5
Arlesheim	10	1	1	1	2	2	1772	2143	3055	1658	3
Altdorf (UR)	10	1	1	1	2	2	1940	2325	2684	1592	6
Wittenbach	10	1	2	1	2	1	2107	2357	2864	1158	5
Suhr	10	1	1	1	2	2	1908	2617	2569	1357	3
Goldach	10	1	1	1	2	2	1964	2346	2738	1393	5
Therwil	10	1	2	1	2	1	1885	2312	3027	1210	3
Wald (ZH)	10	2	3	1	2	2	2204	2280	2572	1365	4
Mannedorf	10	1	1	1	2	1	1658	2366	2840	1484	4
Mohlin	10	2	2	1	2	2	2018	2465	2739	1075	3
Lutry	10	1	2	1	2	1	1800	2001	3045	1424	1
Wattwil	10	2	3	1	2	2	2211	2210	2493	1351	5
Le Grand-Saconnex	10	1	1	1	2	1	1830	2265	2925	1094	1
Sursee	10	1	1	1	2	2	1908	2513	2509	1129	6
Aigle	10	2	2	1	2	3	2088	2182	2449	1236	1
Kirchberg (SG)	10	2	3	1	2	2	2383	2187	2240	1094	5
Mels	10	3	3	3	2	2	2210	2338	2251	1038	5
Hochdorf	10	1	2	1	1	2	2170	2242	2149	1200	6
Embrach	10	1	2	1	2	2	1898	2405	2690	751	4
Chiasso	10	1	1	1	1	1	1257	2186	2538	1739	7
Moutier	10	2	1	1	2	2	1749	2105	2450	1397	2
Neuenhof	10	1	1	1	1	1	1634	2437	2655	887	3
Biberist	10	1	2	1	2	2	1688	2139	2422	1354	2
Niederhasli	10	1	2	1	1	2	1965	2485	2589	550	4
Lenzburg	10	1	1	1	2	2	1649	2236	2441	1242	3
Obersiggenthal	10	1	1	1	2	1	1625	2187	2539	1210	3
Epalinges	10	1	1	1	2	1	1791	2074	2662	989	1
Bassersdorf	10	1	2	1	2	2	1761	2369	2530	855	4
Naters	10	2	1	2	2	1	1811	2013	2488	1203	1
Bussigny-pres-Lausanne	10	1	1	1	1	2	1980	2379	2474	665	1
Gaiserwald	10	1	2	1	2	1	2048	1988	2640	819	5
Ingenbohl	10	2	2	1	1	2	1724	2069	2325	1364	6
Widnau	10	1	1	1	2	2	2031	2278	2272	889	5
Egg	10	1	2	1	2	1	1775	1958	2806	916	4
Oberriet (SG)	10	2	3	1	2	2	2060	2292	2174	928	5
Rapperswil (SG)	10	1	1	1	1	1	1377	2509	2195	1340	5
Giubiasco	10	1	1	1	2	2	1526	2147	2455	1290	7
Pregassona	10	1	1	1	1	1	1602	2417	2431	904	7
Aadorf	10	1	3	1	2	2	1944	2044	2450	863	5
Payerne	10	1	3	1	2	2	1724	2089	2261	1220	1
Reinach (AG)	10	1	2	1	2	2	1846	2016	2279	1117	3
Hombrechtikon	10	1	2	1	2	1	1851	1924	2478	993	4
Risch	10	1	2	1	2	2	1868	2521	2294	558	6
Igis	10	1	2	1	1	2	2001	2019	2319	889	5
Chene-Bourg	10	1	1	1	1	1	1686	2174	2397	964	1
Kilchberg (ZH)	10	1	1	1	2	1	1239	1882	2649	1427	4
Marly	10	1	1	1	2	2	1803	2219	2406	756	2
Unterageri	10	2	2	1	2	1	1744	2075	2400	960	6
Schubelbach	9	2	2	1	2	1	2040	2146	2158	686	6
Hunenberg	9	1	3	1	2	1	1821	2115	2522	529	6
Stans	9	1	2	1	1	2	1668	2080	2245	990	6
Saanen	9	3	3	3	2	1	1679	2140	2031	1064	2
Rothrist	9	1	2	1	2	2	1618	1839	2381	1031	3
Plan-les-Ouates	9	1	1	1	2	2	1903	1867	2314	720	1
Nidau	9	1	1	1	1	1	1217	1778	2307	1496	2
Porrentruy	9	2	2	1	2	2	1483	1855	2165	1250	2
Oberentfelden	9	1	1	1	2	2	1577	2027	2251	885	3
Dudingen	9	1	3	1	2	2	1600	2048	2266	798	2
Frutigen	9	3	3	3	2	1	1887	1777	1970	1027	2
Windisch	9	1	1	1	1	2	1511	1882	2096	1161	3
Langnau am Albis	9	1	1	1	2	1	1369	1755	2503	968	4
Crissier	9	1	1	1	1	2	1689	2282	2005	601	1
Seuzach	9	1	1	1	2	1	1448	1925	2216	969	4
Visp	9	2	1	1	1	3	1532	1891	2143	984	1
Muri (AG)	9	1	2	1	2	2	1606	1947	2089	903	3
Bagnes	9	3	2	3	2	1	1449	2076	1995	1016	1
Rorschacherberg	9	1	1	1	2	1	1619	1638	2197	1029	5
Minusio	9	1	1	1	2	1	1126	1623	2278	1401	7
Fallanden	9	1	1	1	2	1	1367	1787	2557	712	4
Au (SG)	9	1	1	1	2	2	1542	1895	2095	877	5
Domat/Ems	9	2	2	1	1	2	1501	1796	2252	823	5
Sirnach	9	1	2	1	2	1	1741	1793	2014	811	5
Collonge-Bellerive	9	1	1	1	2	1	1698	1515	2206	925	1
Grabs	9	2	3	2	2	1	1691	1677	2046	883	5
Viganello	9	1	1	1	1	1	1118	1884	2089	1193	7
Dietlikon	9	1	1	1	1	2	1285	1871	2232	893	4
Lachen	9	1	1	1	1	1	1293	1950	2055	974	6
Aarburg	9	1	1	1	1	1	1528	1912	1910	913	3
Ruswil	9	2	3	1	2	1	1885	1954	1653	770	6
Conthey	9	3	2	2	2	2	1513	1673	2147	928	1
Ollon	9	3	3	2	2	1	1920	1461	1944	932	1
Rothenburg	9	1	3	1	1	2	1694	1836	2073	636	6
Wahlern	9	2	3	1	2	1	1617	1653	2029	906	2
Buchs (AG)	9	1	1	1	2	2	1329	1928	1887	1031	3
Trimbach	9	1	1	1	1	1	1437	1711	1971	1054	2
Mendrisio	9	1	1	1	2	2	1012	1727	2069	1338	7
Untersiggenthal	9	1	1	1	1	1	1511	1875	2040	702	3
Malters	9	2	3	1	2	2	1836	1833	1691	767	6
Granichen	9	2	2	1	2	1	1507	1655	2024	929	3
Durnten	9	1	2	1	2	1	1529	1690	2010	853	4
Wollerau	9	1	1	1	1	1	1348	1767	2286	673	6
Chavannes-pres-Renens	9	1	1	1	1	1	1434	2314	1751	564	1
Thal	9	1	2	1	2	2	1601	1668	1930	797	5
Zermatt	9	2	1	3	1	1	1277	2522	1682	507	1
Wangen-Bruttisellen	9	1	1	1	1	1	1544	1857	2100	477	4
Bex	9	3	3	2	2	2	1520	1538	1922	993	1
Meggen	9	1	1	1	2	1	1309	1395	2151	1068	6
Losone	9	2	1	1	2	1	1194	1828	2068	817	7
Bolligen	9	2	2	1	2	1	1246	1233	2363	1051	2
Dornach	9	1	1	1	2	1	1250	1548	2091	997	2
Oberengstringen	9	1	1	1	1	1	1154	1728	1973	1024	4
Derendingen	9	1	1	1	1	1	1442	1737	1823	808	2
Biasca	9	3	1	1	2	2	1253	1630	1984	928	7
Frenkendorf	9	1	1	1	1	1	1264	1714	2001	724	3
Uetendorf	9	1	2	1	2	2	1409	1512	2012	769	2
Collombey-Muraz	9	2	2	1	2	3	1642	1799	1779	475	1
St.Moritz	8	1	1	2	2	1	925	2015	2008	641	5
Fully	8	2	2	1	1	1	1659	1596	1562	770	1
Murten	8	1	2	1	1	1	1290	1670	1744	874	2
Balsthal	8	2	2	1	2	2	1377	1569	1707	921	2
Massagno	8	1	1	1	1	1	993	1682	1834	1049	7
Glarus	8	3	2	2	1	1	1219	1610	1717	1010	5
Rumlang	8	1	2	1	1	2	1159	1752	1841	800	4
Teufen (AR)	8	1	2	1	2	1	1243	1373	1848	1071	5
Heimberg	8	1	1	1	1	2	1380	1602	1841	706	2
Oberuzwil	8	1	2	1	2	1	1553	1435	1733	800	5
Neuenkirch	8	1	3	1	1	1	1675	1705	1601	536	6
Menziken	8	1	1	1	1	1	1429	1601	1647	834	3
Bottmingen	8	1	1	1	2	1	1098	1366	2122	922	3
Herrliberg	8	1	2	1	2	1	1176	1336	2105	882	4
Gelterkinden	8	1	1	1	1	1	1384	1394	1849	849	3
Birmensdorf (ZH)	8	1	2	1	2	1	1037	1645	2042	727	4
Appenzell	8	1	3	1	2	1	1451	1509	1574	913	5
Bubikon	8	1	2	1	2	2	1358	1431	1963	672	4
Bischofszell	8	1	2	1	1	2	1461	1504	1593	863	5
Peseux	8	1	1	1	1	1	1179	1653	1581	974	2
Uznach	8	1	1	1	1	2	1504	1480	1612	773	5
Nendaz	8	3	2	2	2	1	1321	1454	1731	844	1
Saviese	8	2	2	2	2	1	1219	1519	1812	791	1
Bremgarten (AG)	8	1	1	1	1	2	1194	1652	1787	705	3
Herzogenbuchsee	8	1	1	1	2	2	1174	1405	1779	980	2
Sissach	8	1	1	1	2	2	1177	1507	1816	825	3
Boudry	8	2	2	1	1	1	1273	1579	1772	687	2
Sumiswald	8	3	3	2	2	2	1392	1382	1563	970	2
Urtenen	8	1	1	1	1	1	1192	1752	1759	592	2
St.Margrethen	8	1	1	1	1	2	1336	1483	1690	776	5
Kirchberg (BE)	8	1	2	1	1	1	1289	1361	1891	703	2
Greifensee	8	1	1	1	1	1	1328	1552	1855	507	4
Uetikon am See	8	1	1	1	1	1	1155	1426	1751	878	4
Unterseen	8	2	1	1	1	1	1078	1423	1675	1025	2
Le Mont-sur-Lausanne	8	1	2	1	2	2	1312	1286	1859	725	1
Orbe	8	1	2	1	1	2	1238	1591	1582	728	1
Oberglatt	8	1	2	1	1	1	1227	1849	1676	368	4
Interlaken	8	1	1	1	1	2	988	1627	1604	900	2
Kerns	8	3	3	3	2	1	1372	1570	1456	703	6
Eschenbach (SG)	8	1	2	1	1	2	1503	1458	1533	589	5
Villmergen	8	1	2	1	1	2	1256	1566	1605	652	3
Diepoldsau	8	1	2	1	2	2	1437	1547	1481	569	5
Bellach	8	1	1	1	1	2	1212	1347	1725	743	2
Kuttigen	8	2	2	1	2	1	1139	1374	1756	756	3
Adligenswil	8	1	2	1	1	1	1550	1251	1873	336	6
Ebnat-Kappel	8	3	3	2	2	1	1340	1216	1535	916	5
Ascona	8	1	1	1	2	1	853	1154	1834	1143	7
Buchrain	8	1	1	1	1	1	1444	1504	1587	441	6
Fislisbach	8	1	1	1	1	1	1118	1553	1688	615	3
Alpnach	8	3	2	2	1	1	1317	1566	1470	579	6
Bad Ragaz	8	2	2	2	1	1	1129	1401	1650	749	5
Wunnewil-Flamatt	8	1	2	1	1	1	1321	1492	1547	556	2
Schattdorf	8	2	2	1	1	2	1281	1387	1656	573	6
Colombier (NE)	8	1	1	1	1	1	1184	1270	1724	719	2
Flums	8	3	3	3	2	1	1431	1336	1409	706	5
Dielsdorf	8	1	1	1	1	2	1224	1531	1635	492	4
Ruschlikon	8	1	1	1	1	1	925	1199	1699	1035	4
Laufen	8	2	1	1	1	2	1110	1423	1601	723	3
Buochs	8	1	2	1	1	1	1298	1427	1517	614	6
Huttwil	8	1	3	1	2	2	1147	1254	1463	961	2
Seon	8	1	2	1	2	1	1221	1426	1515	653	3
Saint-Imier	8	2	2	1	2	1	1018	1272	1346	1171	2
Wurenlos	8	1	2	1	1	1	1141	1360	1773	519	3
Breganzona	8	1	1	1	1	1	1058	1333	1607	784	7
Sargans	8	1	1	1	1	2	1114	1343	1582	726	5
Ettingen	8	1	1	1	1	1	1155	1309	1766	534	3
Schonenwerd	8	1	1	1	1	2	1118	1290	1563	790	2
Hergiswil (NW)	8	2	1	1	1	1	830	1327	1735	862	6
Oberageri	8	2	3	1	2	1	1205	1382	1482	671	6
Meiringen	8	2	2	2	2	1	1128	1289	1492	814	2
Bettlach	8	1	2	1	1	1	1096	1325	1612	688	2
Wartau	8	2	2	2	2	1	1303	1327	1492	582	5
Cologny	8	1	1	1	2	1	1140	1062	1701	794	1
Blonay	8	2	1	1	2	1	1196	1140	1627	732	1
Gerlafingen	8	1	1	1	1	2	1095	1348	1390	861	2
Fehraltorf	8	1	2	1	1	1	1222	1452	1654	359	4
Lausen	8	1	1	1	1	2	1216	1390	1512	527	3
Altendorf	8	2	2	1	1	1	1196	1372	1597	473	6
Dulliken	8	1	1	1	1	2	1205	1198	1525	687	2
Vechigen	8	2	3	1	2	1	1019	1118	1625	852	2
Erlenbach (ZH)	8	1	1	1	1	1	939	1173	1696	801	4
Konolfingen	8	1	2	1	2	1	1080	1258	1498	770	2
Zell (ZH)	8	1	2	1	1	1	1077	1201	1520	797	4
Oberrieden	8	1	1	1	1	1	920	1126	1733	804	4
Wangen bei Olten	8	1	1	1	1	2	996	1280	1465	838	2
Munchwilen (TG)	8	1	2	1	1	2	1264	1380	1313	596	5
Zumikon	8	1	1	1	2	1	903	1043	1738	866	4
Geroldswil	8	1	1	1	1	1	1007	1206	1832	495	4
Wangen (SZ)	8	1	2	1	1	1	1247	1399	1400	494	6
Walenstadt	8	3	2	2	1	2	1216	1270	1395	651	5
Oensingen	8	1	2	1	1	2	1093	1461	1418	545	2
Neftenbach	8	1	2	1	1	1	1287	1288	1509	420	4
Sigriswil	8	3	2	2	2	1	888	1019	1486	1103	2
Menzingen	8	2	3	1	1	1	1108	1363	1270	754	6
Sennwald	8	2	3	1	2	2	1227	1279	1454	524	5
Nurensdorf	8	1	2	1	1	1	1006	1221	1743	505	4
Lengnau (BE)	7	1	1	1	1	1	939	1103	1578	839	2
Estavayer-le-Lac	7	1	1	1	2	2	1275	1237	1333	592	2
Chatel-Saint-Denis	7	3	2	2	2	2	1101	1271	1423	594	2
Oetwil am See	7	1	2	1	1	1	1127	1417	1430	401	4
Cortaillod	7	1	1	1	1	2	1024	1293	1449	607	2
Moudon	7	1	2	1	1	2	1235	1264	1276	596	1
Neuenegg	7	2	3	1	2	1	945	1185	1570	662	2
Berikon	7	1	1	1	1	1	1076	1358	1580	344	3
Sainte-Croix	7	3	2	2	2	1	940	936	1339	1118	1
Stansstad	7	1	1	1	1	1	846	1315	1595	569	6
Sachseln	7	3	2	2	1	1	1134	1244	1316	611	6
Bronschhofen	7	1	2	1	1	2	1133	1398	1387	379	5
Le Chenit	7	3	2	2	2	1	993	1054	1340	910	1
Echallens	7	1	2	1	1	1	1262	1291	1281	447	1
Strengelbach	7	1	1	1	1	1	1009	1261	1451	545	3
Bubendorf	7	1	2	1	1	1	1264	1131	1437	430	3
Bauma	7	2	2	1	1	1	1214	1118	1381	546	4
Schwerzenbach	7	1	1	1	1	1	1012	1428	1389	427	4
Sevelen	7	2	2	2	1	2	1181	1272	1384	416	5
Mellingen	7	1	1	1	1	1	1110	1293	1458	378	3
Rolle	7	1	1	1	1	1	1260	1148	1225	602	1
Le Landeron	7	1	2	1	1	1	1048	1166	1442	571	2
Saint-Prex	7	1	1	1	2	1	983	1390	1384	453	1
Gebenstorf	7	1	1	1	1	1	1001	1198	1515	468	3
Buchs (ZH)	7	1	1	1	1	1	1094	1404	1392	292	4
Obfelden	7	1	2	1	1	1	1083	1197	1497	405	4
Villeneuve (VD)	7	2	1	2	1	2	1021	1121	1377	661	1
Hagendorf	7	2	1	1	1	1	984	1156	1410	628	2
Baretswil	7	2	3	1	1	1	1116	1141	1462	453	4
Tramelan	7	2	2	1	2	1	926	1022	1289	928	2
Fullinsdorf	7	1	1	1	1	1	810	1126	1528	700	3
Egnach	7	1	3	1	2	1	1202	1072	1290	589	5
Willisau Land	7	2	3	1	2	2	1172	1210	1142	581	6
Morbio Inferiore	7	1	1	1	1	1	846	1169	1399	691	7
Turbenthal	7	2	2	1	1	1	1170	1084	1333	504	4
Reiden	7	1	2	1	1	1	1113	1145	1225	607	6
Wolhusen	7	1	2	1	1	1	1137	1211	1121	617	6
Preverenges	7	1	1	1	1	1	928	1273	1481	396	1
Lindau	7	1	2	1	1	2	1087	1173	1430	382	4
Grindelwald	7	3	2	3	2	1	857	1305	1242	665	2
Saint-Legier-La Chiesaz	7	2	2	1	2	1	1026	1066	1436	540	1
Heiden	7	1	2	1	1	1	1042	983	1330	708	5
Rebstein	7	1	1	1	1	1	1113	1114	1280	548	5
Wiesendangen	7	1	2	1	1	1	999	1015	1400	615	4
Frick	7	1	2	1	1	2	1034	1187	1284	523	3
Balgach	7	1	1	1	1	1	1041	1177	1194	612	5
Brugg	7	1	1	1	1	2	824	1130	1377	680	2
Aarwangen	7	1	2	1	1	1	1043	1140	1322	496	2
Jegenstorf	7	1	2	1	1	1	934	1082	1475	508	2
Wangi	7	1	3	1	1	1	1117	1095	1248	509	5
Romont (FR)	7	1	2	1	1	2	998	1239	1190	537	2
Lutzelfluh	7	2	3	1	2	1	1007	1070	1239	641	2
Russikon	7	1	2	1	1	1	1071	982	1440	459	4
Degersheim	7	1	2	1	1	1	1151	981	1228	592	5
Nafels	7	2	1	2	1	2	949	1069	1237	692	5
Oberburen	7	1	3	1	1	1	1196	1250	1143	357	5
Ennetburgen	7	1	2	1	1	1	941	1056	1430	512	6
Erstfeld	7	2	1	1	1	1	891	1025	1200	817	6
Niederbipp	7	2	2	1	1	1	1002	1088	1200	640	2
Galgenen	7	1	2	1	1	1	1008	1194	1305	420	6
Kaiseraugst	7	1	1	1	1	2	852	1136	1400	529	3
Corcelles-Cormondreche	7	1	1	1	1	1	923	1035	1237	719	2
Kolliken	7	1	1	1	1	1	970	1141	1223	576	3
Thayngen	7	1	2	1	1	2	886	984	1337	699	5
Zurzach	7	1	1	1	1	2	926	986	1312	675	3
Schupfheim	7	2	3	1	1	1	1142	1106	997	652	6
Bonstetten	7	1	2	1	1	1	954	1248	1370	321	4
Kerzers	7	1	2	1	1	1	1087	1188	1178	439	2
Vilters-Wangs	7	2	2	2	1	1	1112	1140	1234	405	5
Klosters-Serneus	7	3	2	3	2	1	821	1106	1310	653	5
Burglen (UR)	7	2	2	2	1	1	1100	1104	1120	554	6
Gordola	7	1	1	1	1	1	816	1060	1348	654	7
Speicher	7	1	2	1	1	1	965	950	1395	543	5
Niederlenz	7	1	1	1	1	1	994	1154	1205	493	3
Hilterfingen	7	1	1	1	1	1	681	877	1264	999	2
Aarberg	7	1	1	1	1	2	897	1148	1209	548	2
Bremgarten bei Bern	7	1	1	1	1	1	828	835	1474	665	2
Zuzwil (SG)	7	1	2	1	1	1	1166	1081	1236	315	5
Weiningen (ZH)	7	1	1	1	1	1	875	1155	1308	453	4
Wettswil am Albis	7	1	1	1	1	1	815	961	1516	492	4
Feusisberg	7	2	2	1	1	1	881	1086	1340	472	6
Niedergosgen	7	1	1	1	1	1	933	1067	1187	588	2
Rupperswil	7	1	1	1	1	2	886	1056	1255	573	3
