STRATO	N	M1	M2	M3	M4	S1	S2	S3	S4	COST	CENS	DOM1	X1	X2	X3	X4	X5	X6	LABEL	STRATUM
4*2*2*2*1*1	1	329	385	434	209	0	0	0	0	1	0	1	4	2	2	2	1	1	13	4*2*2*2*1*1
4*3*1*1*1*1	1	412	490	573	256	0	0	0	0	1	0	1	4	3	1	1	1	1	1	4*3*1*1*1*1
4*3*1*2*1*1	1	261	338	428	267	0	0	0	0	1	0	1	4	3	1	2	1	1	4	4*3*1*2*1*1
4*3*2*2*2*1	1	243	322	450	292	0	0	0	0	1	0	1	4	3	2	2	2	1	13	4*3*2*2*2*1
4*3*2*3*1*1	1	371	423	486	242	0	0	0	0	1	0	1	4	3	2	3	1	1	14	4*3*2*3*1*1
5*1*1*1*1*1	19	501.315789473684	561.526315789474	710.684210526316	291.157894736842	76.6985822204028	88.1207305796697	85.6712402356168	93.708331870695	1	0	1	5	1	1	1	1	1	13	5*1*1*1*1*1
5*1*1*1*1*2	3	548.666666666667	664.666666666667	732.666666666667	252.333333333333	86.754442729657	122.459517120285	67.9877439935562	105.746552347267	1	0	1	5	1	1	1	1	2	13	5*1*1*1*1*2
5*1*1*1*2*1	2	628	499.5	820	304.5	57.9827560572969	7.77817459305202	22.6274169979695	71.4177848998413	1	0	1	5	1	1	1	2	1	5	5*1*1*1*2*1
5*1*2*1*1*1	1	617	613	694	354	0	0	0	0	1	0	1	5	1	2	1	1	1	14	5*1*2*1*1*1
5*1*3*1*1*2	1	593	731	722	293	0	0	0	0	1	0	1	5	1	3	1	1	2	14	5*1*3*1*1*2
5*2*1*1*1*1	4	529.75	657	670.75	305.75	83.3841511719503	138.638618958307	51.5969960365911	51.9767576262057	1	0	1	5	2	1	1	1	1	12	5*2*1*1*1*1
5*2*2*1*1*1	1	491	618	724	364	0	0	0	0	1	0	1	5	2	2	1	1	1	13	5*2*2*1*1*1
5*2*2*1*2*1	1	548	642	823	484	0	0	0	0	1	0	1	5	2	2	1	2	1	14	5*2*2*1*2*1
5*3*1*2*1*1	2	567	547.5	674	269	46.6690475583121	173.241161390704	7.07106781186548	121.622366364086	1	0	1	5	3	1	2	1	1	13	5*3*1*2*1*1
6*1*1*1*1*1	8	688.875	860.875	1059.25	363.5	103.011008426978	116.809292071674	84.6518078450104	111.96810770419	1	0	1	6	1	1	1	1	1	14	6*1*1*1*1*1
6*1*1*1*2*1	4	693.75	849.75	1007	443.75	64.5206685230916	193.730697963264	118.138336989593	175.558869518651	1	0	1	6	1	1	1	2	1	14	6*1*1*1*2*1
6*1*2*1*1*1	5	653.8	743	871.2	350.2	83.7896174952482	71.8087738371851	98.0392778431176	121.45040139909	1	0	1	6	1	2	1	1	1	13	6*1*2*1*1*1
6*1*2*1*1*2	1	787	900	822	276	0	0	0	0	1	0	1	6	1	2	1	1	2	13	6*1*2*1*1*2
6*1*2*1*2*1	1	730	789	1184	381	0	0	0	0	1	0	1	6	1	2	1	2	1	13	6*1*2*1*2*1
6*1*3*1*1*2	1	627	706	828	383	0	0	0	0	1	0	1	6	1	3	1	1	2	4	6*1*3*1*1*2
6*1*3*1*1*3	1	692	831	955	307	0	0	0	0	1	0	1	6	1	3	1	1	3	13	6*1*3*1*1*3
6*2*1*1*1*1	1	1024	870	770	334	0	0	0	0	1	0	1	6	2	1	1	1	1	14	6*2*1*1*1*1
6*2*1*1*2*1	1	639	728	868	422	0	0	0	0	1	0	1	6	2	1	1	2	1	6	6*2*1*1*2*1
6*2*2*1*1*1	1	787	841	991	628	0	0	0	0	1	0	1	6	2	2	1	1	1	8	6*2*2*1*1*1
6*2*2*1*1*2	1	774	923	1070	545	0	0	0	0	1	0	1	6	2	2	1	1	2	4	6*2*2*1*1*2
6*2*2*2*1*2	1	797	780	938	445	0	0	0	0	1	0	1	6	2	2	2	1	2	13	6*2*2*2*1*2
6*2*2*2*2*1	1	626	758	1059	558	0	0	0	0	1	0	1	6	2	2	2	2	1	14	6*2*2*2*2*1
6*3*2*1*1*1	1	806	897	1114	544	0	0	0	0	1	0	1	6	3	2	1	1	1	14	6*3*2*1*1*1
6*3*2*2*2*1	1	713	693	804	420	0	0	0	0	1	0	1	6	3	2	2	2	1	14	6*3*2*2*2*1
6*3*3*3*2*1	1	705	689	921	634	0	0	0	0	1	0	1	6	3	3	3	2	1	13	6*3*3*3*2*1
7*1*1*1*1*1	2	1094	1210.5	1353	499	234.759451353934	88.3883476483184	181.019335983756	145.663996924429	1	0	1	7	1	1	1	1	1	2	7*1*1*1*1*1
7*1*1*1*1*2	1	878	969	1109	640	0	0	0	0	1	0	1	7	1	1	1	1	2	10	7*1*1*1*1*2
7*1*1*1*2*1	1	983	1390	1384	453	0	0	0	0	1	0	1	7	1	1	1	2	1	6	7*1*1*1*2*1
7*1*2*1*1*1	1	1262	1291	1281	447	0	0	0	0	1	0	1	7	1	2	1	1	1	9	7*1*2*1*1*1
7*1*2*1*1*2	2	1104	1136	1253.5	537.5	185.261976670875	181.019335983756	31.8198051533946	82.731493398826	1	0	1	7	1	2	1	1	2	13	7*1*2*1*1*2
7*2*1*2*1*2	1	1021	1121	1377	661	0	0	0	0	1	0	1	7	2	1	2	1	2	9	7*2*1*2*1*2
7*2*2*1*2*1	1	1026	1066	1436	540	0	0	0	0	1	0	1	7	2	2	1	2	1	14	7*2*2*1*2*1
7*3*2*2*2*1	3	959	1007.66666666667	1268.66666666667	830.333333333333	29.5127091267474	62.9470677103655	122.687951051981	334.688412308125	1	0	1	7	3	2	2	2	1	14	7*3*2*2*2*1
8*1*1*1*2*1	1	1140	1062	1701	794	0	0	0	0	1	0	1	8	1	1	1	2	1	7	8*1*1*1*2*1
8*1*2*1*1*2	1	1238	1591	1582	728	0	0	0	0	1	0	1	8	1	2	1	1	2	14	8*1*2*1*1*2
8*1*2*1*2*2	1	1312	1286	1859	725	0	0	0	0	1	0	1	8	1	2	1	2	2	8	8*1*2*1*2*2
8*2*1*1*2*1	1	1196	1140	1627	732	0	0	0	0	1	0	1	8	2	1	1	2	1	6	8*2*1*1*2*1
8*2*2*1*1*1	1	1659	1596	1562	770	0	0	0	0	1	0	1	8	2	2	1	1	1	5	8*2*2*1*1*1
8*2*2*2*2*1	1	1219	1519	1812	791	0	0	0	0	1	0	1	8	2	2	2	2	1	7	8*2*2*2*2*1
8*3*2*2*2*1	1	1321	1454	1731	844	0	0	0	0	1	0	1	8	3	2	2	2	1	6	8*3*2*2*2*1
9*1*1*1*1*1	1	1434	2314	1751	564	0	0	0	0	1	0	1	9	1	1	1	1	1	14	9*1*1*1*1*1
9*1*1*1*1*2	1	1689	2282	2005	601	0	0	0	0	1	0	1	9	1	1	1	1	2	2	9*1*1*1*1*2
9*1*1*1*2*1	1	1698	1515	2206	925	0	0	0	0	1	0	1	9	1	1	1	2	1	3	9*1*1*1*2*1
9*1*1*1*2*2	1	1903	1867	2314	720	0	0	0	0	1	0	1	9	1	1	1	2	2	14	9*1*1*1*2*2
9*2*1*1*1*3	1	1532	1891	2143	984	0	0	0	0	1	0	1	9	2	1	1	1	3	14	9*2*1*1*1*3
9*2*1*3*1*1	1	1277	2522	1682	507	0	0	0	0	1	0	1	9	2	1	3	1	1	14	9*2*1*3*1*1
9*2*2*1*2*3	1	1642	1799	1779	475	0	0	0	0	1	0	1	9	2	2	1	2	3	2	9*2*2*1*2*3
9*3*2*2*2*2	1	1513	1673	2147	928	0	0	0	0	1	0	1	9	3	2	2	2	2	4	9*3*2*2*2*2
9*3*2*3*2*1	1	1449	2076	1995	1016	0	0	0	0	1	0	1	9	3	2	3	2	1	14	9*3*2*3*2*1
9*3*3*2*2*1	1	1920	1461	1944	932	0	0	0	0	1	0	1	9	3	3	2	2	1	5	9*3*3*2*2*1
9*3*3*2*2*2	1	1520	1538	1922	993	0	0	0	0	1	0	1	9	3	3	2	2	2	15	9*3*3*2*2*2
1*1*1*1*1*1	242	53.8636363636364	55.0950413223141	64.7520661157025	29.0619834710744	25.9135572265326	24.7864584607671	30.4515889498787	15.2097465813953	1	0	2	1	1	1	1	1	1	1	1*1*1*1*1*1
1*1*2*1*1*1	5	92.4	76.2	98.2	43	15.4531550176655	13.4796142378037	15.8018986201026	14.5773797371133	1	0	2	1	1	2	1	1	1	2	1*1*2*1*1*1
1*2*1*1*1*1	15	58.2	55.0666666666667	64.7333333333333	32.8666666666667	23.302973446077	18.4486417102285	25.2684633109186	16.391926003226	1	0	2	1	2	1	1	1	1	3	1*2*1*1*1*1
1*2*1*2*1*1	6	62.8333333333333	53	81.8333333333333	49.3333333333333	11.5311173208266	20.3076340325504	27.9815415348523	17.929491533969	1	0	2	1	2	1	2	1	1	4	1*2*1*2*1*1
1*2*2*1*1*1	4	83.5	82	108.75	50	4.43471156521669	12.7279220613579	12.737739202857	12.9099444873581	1	0	2	1	2	2	1	1	1	4	1*2*2*1*1*1
1*3*1*2*1*1	1	72	85	121	54	0	0	0	0	1	0	2	1	3	1	2	1	1	5	1*3*1*2*1*1
10*1*1*1*1*2	1	1957	2802	2845	1318	0	0	0	0	1	0	2	10	1	1	1	1	2	6	10*1*1*1*1*2
10*1*1*1*2*2	1	1803	2219	2406	756	0	0	0	0	1	0	2	10	1	1	1	2	2	7	10*1*1*1*2*2
10*1*2*1*2*2	1	1688	2139	2422	1354	0	0	0	0	1	0	2	10	1	2	1	2	2	2	10*1*2*1*2*2
10*2*1*1*2*2	1	1749	2105	2450	1397	0	0	0	0	1	0	2	10	2	1	1	2	2	7	10*2*1*1*2*2
10*2*3*1*2*1	1	2103	2042	3617	1190	0	0	0	0	1	0	2	10	2	3	1	2	1	4	10*2*3*1*2*1
11*1*1*1*2*2	3	2183.33333333333	2921	3380.33333333333	1437.66666666667	216.407794067897	204.575169558771	661.318632229074	362.53873356282	1	0	2	11	1	1	1	2	2	7	11*1*1*1*2*2
11*1*2*1*2*2	5	2486.4	3023.8	3409.8	1389.4	231.595120846705	374.811552650128	280.905144132321	267.933387243919	1	0	2	11	1	2	1	2	2	7	11*1*2*1*2*2
11*1*3*1*2*1	1	2456	2927	3992	1520	0	0	0	0	1	0	2	11	1	3	1	2	1	7	11*1*3*1*2*1
11*2*2*1*2*2	2	2425	2933.5	3495	2087.5	79.1959594928933	361.331565186326	277.185858225127	135.057395206631	1	0	2	11	2	2	1	2	2	7	11*2*2*1*2*2
11*3*3*1*2*2	1	2245	2349	2800	1754	0	0	0	0	1	0	2	11	3	3	1	2	2	7	11*3*3*1*2*2
12*1*1*1*2*1	1	2288	2725	4977	2581	0	0	0	0	1	0	2	12	1	1	1	2	1	7	12*1*1*1*2*1
12*1*2*1*2*2	2	2872	3546	4302	2468	295.570634535977	654.780879378743	483.661038331598	207.889393668845	1	0	2	12	1	2	1	2	2	7	12*1*2*1*2*2
12*2*1*1*2*2	1	3154	3982	4457	2485	0	0	0	0	1	0	2	12	2	1	1	2	2	2	12*2*1*1*2*2
12*2*2*1*2*3	1	3119	4070	4707	2818	0	0	0	0	1	0	2	12	2	2	1	2	3	8	12*2*2*1*2*3
13*1*1*1*2*1	1	3041	4619	5444	2348	0	0	0	0	1	0	2	13	1	1	1	2	1	5	13*1*1*1*2*1
13*1*1*1*2*2	1	2926	4512	4886	3165	0	0	0	0	1	0	2	13	1	1	1	2	2	7	13*1*1*1*2*2
13*1*1*1*2*3	1	3094	5008	5037	3618	0	0	0	0	1	0	2	13	1	1	1	2	3	9	13*1*1*1*2*3
13*2*2*1*2*2	1	3233	4118	5183	3404	0	0	0	0	1	0	2	13	2	2	1	2	2	8	13*2*2*1*2*2
15*1*1*1*2*2	1	6862	13231	10142	5312	0	0	0	0	1	0	2	15	1	1	1	2	2	8	15*1*1*1*2*2
15*1*2*1*2*3	1	8128	11265	13301	7683	0	0	0	0	1	0	2	15	1	2	1	2	3	8	15*1*2*1*2*3
15*2*1*1*2*2	1	6356	11204	9576	5778	0	0	0	0	1	0	2	15	2	1	1	2	2	8	15*2*1*1*2*2
15*2*1*1*2*3	1	9127	14825	15140	9563	0	0	0	0	1	0	2	15	2	1	1	2	3	8	15*2*1*1*2*3
15*2*3*1*2*2	1	7861	10452	12892	6577	0	0	0	0	1	0	2	15	2	3	1	2	2	9	15*2*3*1*2*2
15*2*3*2*2*2	1	8319	10551	11258	6888	0	0	0	0	1	0	2	15	2	3	2	2	2	8	15*2*3*2*2*2
17*2*3*1*3*3	1	19399	44263	39397	25575	0	0	0	0	1	0	2	17	2	3	1	3	3	9	17*2*3*1*3*3
2*1*1*1*1*1	138	132.079710144928	137.891304347826	167.644927536232	73.9710144927536	29.9486328104413	34.2361240009354	41.095722462797	25.6329914094771	1	0	2	2	1	1	1	1	1	3	2*1*1*1*1*1
2*1*2*1*1*1	47	151.255319148936	153.68085106383	173.595744680851	87.3404255319149	28.1513518751041	32.0380930761429	34.4299285723716	26.6965855134295	1	0	2	2	1	2	1	1	1	3	2*1*2*1*1*1
2*2*1*1*1*1	9	158	151	180.222222222222	92.5555555555556	17.2191753577226	31.0926036220835	31.3838245668759	30.0296150121472	1	0	2	2	2	1	1	1	1	1	2*2*1*1*1*1
2*2*1*2*1*1	5	131.2	139.4	168	97.4	28.1815542509635	22.7771815640127	24.8092724601106	25.4911749434976	1	0	2	2	2	1	2	1	1	3	2*2*1*2*1*1
2*2*2*1*1*1	6	137.166666666667	126.666666666667	167.833333333333	87.1666666666667	25.3015151061486	34.1272129929572	50.6770822627612	44.0745580427832	1	0	2	2	2	2	1	1	1	10	2*2*2*1*1*1
2*2*2*2*1*1	1	199	195	209	132	0	0	0	0	1	0	2	2	2	2	2	1	1	10	2*2*2*2*1*1
2*2*3*1*1*1	1	164	171	223	107	0	0	0	0	1	0	2	2	2	3	1	1	1	5	2*2*3*1*1*1
2*2*3*2*1*1	1	178	162	201	106	0	0	0	0	1	0	2	2	2	3	2	1	1	11	2*2*3*2*1*1
2*3*1*2*1*1	1	209	147	204	134	0	0	0	0	1	0	2	2	3	1	2	1	1	11	2*3*1*2*1*1
2*3*2*2*1*1	1	153	170	183	118	0	0	0	0	1	0	2	2	3	2	2	1	1	1	2*3*2*2*1*1
3*1*1*1*1*1	55	241.927272727273	261.545454545455	310.309090909091	124.290909090909	45.2519099435079	49.9554683848407	51.1196391655644	37.548818952316	1	0	2	3	1	1	1	1	1	12	3*1*1*1*1*1
3*1*2*1*1*1	38	241.473684210526	252.421052631579	296.447368421053	133.789473684211	37.7428975542349	45.3476848116962	46.1441322253824	31.8078333839381	1	0	2	3	1	2	1	1	1	3	3*1*2*1*1*1
3*1*3*1*1*1	1	313	360	305	184	0	0	0	0	1	0	2	3	1	3	1	1	1	12	3*1*3*1*1*1
3*2*1*1*1*1	4	217.75	246.5	313	144.25	42.4372085164266	57.1226750073909	49.0509938737229	36.2709709455555	1	0	2	3	2	1	1	1	1	12	3*2*1*1*1*1
3*2*1*2*1*1	2	219.5	297	362.5	162	40.3050865276332	15.556349186104	55.8614357137373	55.1543289325507	1	0	2	3	2	1	2	1	1	12	3*2*1*2*1*1
3*2*2*1*1*1	8	280	274.125	334.25	185.375	35.4562104171167	35.9302399498966	32.2035934108514	45.5315824455948	1	0	2	3	2	2	1	1	1	13	3*2*2*1*1*1
3*2*2*2*1*1	6	242	230.333333333333	287.666666666667	162	41.9761837236307	35.0409284504088	60.5430975972213	22.0544780033444	1	0	2	3	2	2	2	1	1	6	3*2*2*2*1*1
3*2*3*1*1*1	1	237	254	300	206	0	0	0	0	1	0	2	3	2	3	1	1	1	13	3*2*3*1*1*1
3*3*1*2*1*1	1	225	207	320	184	0	0	0	0	1	0	2	3	3	1	2	1	1	13	3*3*1*2*1*1
3*3*2*2*1*1	1	217	267	266	161	0	0	0	0	1	0	2	3	3	2	2	1	1	4	3*3*2*2*1*1
4*1*1*1*1*1	32	372.40625	391.90625	501.5	188.6875	50.5836001569551	66.6315624983216	65.3723824492941	54.5984978524312	1	0	2	4	1	1	1	1	1	12	4*1*1*1*1*1
4*1*1*1*1*2	3	367.333333333333	410.333333333333	487.333333333333	165.666666666667	8.38649708360608	41.7412665516193	18.9296944860009	24.0069434400411	1	0	2	4	1	1	1	1	2	6	4*1*1*1*1*2
4*1*2*1*1*1	33	371.181818181818	382.878787878788	440.484848484848	212.484848484848	53.6035531386764	57.1438741116215	60.044838044228	49.8341757808592	1	0	2	4	1	2	1	1	1	4	4*1*2*1*1*1
4*2*1*1*1*1	5	348.8	355	501.4	249.2	55.1425425601686	64.6645188646757	91.023623307359	19.0578067993146	1	0	2	4	2	1	1	1	1	11	4*2*1*1*1*1
4*2*1*1*1*2	1	304	323	492	216	0	0	0	0	1	0	2	4	2	1	1	1	2	12	4*2*1*1*1*2
4*2*1*2*1*1	1	289	301	421	268	0	0	0	0	1	0	2	4	2	1	2	1	1	4	4*2*1*2*1*1
4*2*2*1*1*1	10	381.2	376.2	444.1	225.7	52.5035448538689	65.9474538300507	54.1098676562582	35.4496513068574	1	0	2	4	2	2	1	1	1	12	4*2*2*1*1*1
4*2*2*2*1*1	2	433	355	415.5	207.5	36.7695526217005	83.4386001800126	28.9913780286484	41.7193000900063	1	0	2	4	2	2	2	1	1	12	4*2*2*2*1*1
4*2*3*1*1*1	1	362	448	463	270	0	0	0	0	1	0	2	4	2	3	1	1	1	12	4*2*3*1*1*1
4*3*2*2*1*1	1	443	365	542	278	0	0	0	0	1	0	2	4	3	2	2	1	1	12	4*3*2*2*1*1
4*3*2*3*1*1	3	400.333333333333	362.666666666667	433.666666666667	267	8.50490054811538	42.5480120961407	31.2623309005156	41.6773319683494	1	0	2	4	3	2	3	1	1	12	4*3*2*3*1*1
4*3*3*1*1*1	1	374	357	330	201	0	0	0	0	1	0	2	4	3	3	1	1	1	10	4*3*3*1*1*1
